FIPS,Cancer_Incidence,Over_65,White,Black,Hispanic,Native_American,Asian,Premature_Death,Poor_Physical_Days,Poor_Mental_Days,Adult_Smoking,Adult_Obesity,Food_Envr_Index,Physical_Inactivity,Exercise_Access,Excessive_Drinking,STD,Uninsured,Primary_Care,Dentists,Mental_Health_Providers,Diabetic,Mammography,HS_Graduation,Some_College,Unemployment,Inadequate_Social_Support,Single_Parent,Violent_Crime,Housing_Problems,Driving_Alone,Long_Commute,Rural_Area,Diabetes_Value,Food_Insecurity,Access_To_Healthy_Food,a_ccl4,a_cl_ln,a_cn_ln,a_diesel_ln,a_eox_ln,a_pb_ln,a_pm10_mean_ln,a_pm25_mean,a_so2_mean_ln,a_no2_mean_ln,a_co_mean_ln,a_o3_mean_ln,a_teca_ln,w_112tca_ln,a_dbcp_ln,a_tdi_ln,a_2clacephen_ln,a_2np_ln,a_pnp_ln,a_ch3cn_ln,a_acetophenone_ln,a_acrolein_ln,a_acrylic_acid_ln,a_c3h3n_ln,a_sb_ln,a_benzidine_ln,a_benzyl_cl_ln,a_be_ln,a_biphenyl_ln,a_dehp_ln,a_bromoform_ln,a_cd_ln,a_cs2_ln,a_cs_ln,a_c6h5cl_ln,a_chloroform_ln,a_chloroprene_ln,a_cr_ln,a_cresol_ln,a_cumene_ln,a_dbp_ln,a_dmf_ln,a_me2_phthalate_ln,a_me2so4_ln,a_ech_ln,a_etacrylate_ln,a_etcl_ln,a_edb_ln,a_edc_ln,a_egly_ln,a_edcl2_ln,a_glycol_ethers_ln,a_hcb_ln,a_hcbd_ln,a_hccpd_ln,a_hexane_ln,a_n2h2_ln,a_hcl_ln,a_isophorone_ln,a_mn_ln,a_hg_ln,a_meoh_ln,a_mibk_ln,a_mma_ln,a_mecl_ln,a_mehydrazine_ln,a_mtbe_ln,a_nitrobenzene_ln,a_dma_ln,a_otoluidine_ln,a_pahpom_ln,a_pcp_ln,a_ph3_ln,a_p_ln,a_pcbs_ln,a_procl2_ln,a_proo_ln,a_quinoline_ln,a_se_ln,a_cl4c2_ln,a_toluene_ln,a_c2hcl3_ln,a_etn_ln,a_vyac_ln,a_vycl_ln,a_11dce_ln
72001,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56045,46.4,0.17,0.93,0.00,0.03,0.02,0.00,5633.00,3.50,3.00,0.20,0.31,8.45,0.29,0.27,0.17,239.20,835.00,56.00,27.00,68.00,0.76,0.44,,0.58,0.05,0.17,0.30,108.03,0.04,0.69,0.26,0.55,0.08,0.12,0.04,0.4966777,-9.345781,-6.19366,-2.816425,-7.586739,-7.596968,4.159764,5.235622,7.096103,6.19032,3.250363,8.572409,-6.01515,-0.6911492,-13.6103,-15.22476,-31.70556,-19.79112,-23.8847,-12.72392,-27.05385,-5.619606,-24.81516,-7.404511,-12.22485,-18.48789,-13.42277,-10.87416,-12.54925,-0.2170729,-27.31621,-10.15971,-10.1394,-13.37136,-11.98205,-2.642421,-15.4146,-9.713107,-9.404696,-9.262083,-14.86753,-9.899067,-21.15174,-15.67315,-17.04874,-18.00727,-15.18367,-8.731689,-6.344251,-6.862465,-20.64677,-7.983345,-16.85235,-18.87157,-19.09451,-4.607496,-15.91289,-5.72076,-31.24294,-7.482503,-7.191979,-5.086773,-5.993581,-12.42599,0.2204999,-27.10555,-7.920079,-16.67764,-12.81572,-18.26451,-6.628519,-15.93057,-25.88291,-30.44861,-8.536695,-7.716657,-11.0646,-14.0005,-11.49819,-3.484658,-1.925944,-4.867918,-13.72082,-12.76755,-10.87434,-12.32938
56043,51.1,0.19,0.84,0.00,0.14,0.02,0.01,6580.00,2.80,2.30,0.14,0.24,8.55,0.25,0.67,0.10,141.40,1074.00,47.00,70.00,198.00,0.65,0.37,0.78,0.66,0.05,0.13,0.23,67.97,0.05,0.73,0.09,0.36,0.09,0.12,0.03,0.4967214,-30.69147,-4.448187,-1.847486,-7.308779,-7.501545,7.210037,6.329781,5.060876,5.650565,5.293827,7.944229,-4.573218,-0.6911492,-13.6103,-8.417953,-31.70556,-18.20817,-11.11218,-11.10644,-11.86162,-4.781915,-22.87118,-7.447414,-19.44715,-18.48789,-14.85011,-10.28493,-10.65592,-0.217065,-27.31621,-9.827365,-8.601244,-8.692788,-10.54786,-2.6414,-13.79446,-9.27009,-8.448776,-8.238173,-11.77032,-7.732034,-13.58937,-16.70121,-15.46641,-16.38811,-7.589388,-6.30541,-4.862549,-1.672732,-14.53245,-1.576263,-15.04051,-17.2893,-17.51236,-2.706193,-15.91289,-3.870057,-18.00758,-7.465718,-7.170152,-2.729144,-2.222406,-10.62552,0.2229238,-27.10555,-4.618867,-15.09457,-11.2274,-16.57463,-5.033832,-14.16488,-25.88291,-30.44861,-8.391205,-5.629638,-9.524477,-14.0005,-8.96769,-3.103373,-0.1810355,-4.843067,-11.79735,-10.91967,-5.642992,-10.92601
56041,37.1,0.10,0.88,0.00,0.09,0.01,0.00,8171.00,4.00,3.50,0.18,0.30,8.13,0.26,0.45,0.14,305.00,2540.00,38.00,66.00,282.00,0.79,0.48,0.87,0.56,0.05,0.16,0.21,56.01,0.13,0.77,0.15,0.43,0.07,0.12,0.07,0.4966877,-16.83394,-5.883249,-2.411864,-7.232486,-7.408897,8.349684,6.568015,4.181909,6.271574,7.011219,8.151058,-5.96397,-0.6911492,-12.48435,-10.39708,-31.70556,-19.25157,-12.41842,-12.18209,-13.15014,-5.387593,-17.87378,-7.000628,-18.42488,-14.04092,-15.92606,-10.85053,-12.01909,-0.2170456,-27.31621,-10.17998,-8.312996,-7.060868,-10.6581,-2.657731,-14.83142,-9.658879,-8.688639,-8.92916,-11.41323,-9.045934,-14.87906,-17.77098,-16.53698,-17.34491,-8.524473,-8.739754,-6.155221,-5.590168,-8.959501,-7.157433,-16.87775,-18.35903,-18.58218,-3.638132,-15.9111,-5.113179,-15.93477,-7.528801,-7.192755,-4.298411,-4.916522,-11.9565,0.2209938,-27.10555,-5.089011,-16.16619,-12.31219,-17.83477,-7.018528,-16.00548,-25.88291,-30.44861,-8.537913,-7.686528,-10.08472,-11.32457,-11.2428,-3.132894,-0.7698445,-4.694558,-13.06942,-12.17529,-8.4514,-10.9905
56039,22.6,0.11,0.82,0.00,0.15,0.01,0.01,4054.00,2.10,2.30,0.10,0.13,7.96,0.11,0.94,0.21,208.80,3531.00,125.00,82.00,187.00,0.79,0.69,0.88,0.70,0.07,0.15,0.18,263.99,0.20,0.62,0.12,0.46,0.04,0.14,0.05,0.4966978,-13.34759,-5.119164,-2.513808,-7.29943,-7.456854,10.40054,6.672318,3.664495,5.776446,8.23064,8.192635,-5.937455,-0.6911492,-13.51493,-9.144648,-19.96784,-18.69005,-11.23065,-11.6804,-11.95875,-4.49909,-24.14055,-7.42592,-18.81902,-18.48789,-14.86055,-10.86361,-11.2773,-0.2170707,-18.35829,-10.10991,-9.079251,-8.93329,-11.08165,-2.431211,-14.37587,-9.532913,-7.663419,-7.704783,-11.40055,-8.530733,-12.641,-16.84432,-15.94675,-16.96777,-8.171926,-8.969879,-5.745354,-4.064279,-13.78246,-6.589005,-15.8266,-17.76917,-17.99224,-3.612071,-15.91289,-3.764504,-15.42559,-7.507517,-7.18844,-3.405271,-5.567113,-10.19804,0.2294569,-16.8543,-5.981946,-15.57643,-11.72211,-17.30381,-5.685944,-14.96292,-15.09227,-30.44861,-8.483077,-6.843486,-10.01986,-13.33154,-10.29449,-3.384349,-1.388443,-4.832912,-10.84925,-10.12641,-11.96023,-11.40236
56037,45.3,0.09,0.80,0.01,0.16,0.01,0.01,7433.00,3.70,3.70,0.24,0.27,8.43,0.23,0.57,0.21,323.70,5581.00,29.00,39.00,113.00,0.77,0.53,0.80,0.57,0.05,0.19,0.24,442.84,0.09,0.75,0.17,0.11,0.07,0.11,0.06,0.4967312,-6.59229,-4.931473,-1.586659,-7.154507,-7.475959,11.26352,6.404824,3.944179,5.835129,6.045768,7.440328,-4.356493,-0.6911492,-13.26153,-9.837964,-15.6751,-18.0598,-11.46808,-10.95634,-12.07315,-3.704521,-22.597,-6.836838,-14.334,-17.27962,-8.737597,-10.22429,-10.91117,-0.2168199,-13.9548,-9.812924,-8.391019,-5.183371,-10.45728,-2.485122,-13.65423,-9.207289,-7.713892,-8.217326,-11.87072,-7.667659,-13.32103,-13.68776,-15.31637,-16.24346,-7.399168,-5.77604,-4.69317,-1.816986,-10.3446,-5.762495,-24.50688,-17.13813,-17.36121,-2.505883,-15.91289,-3.554271,-10.93247,-7.462944,-7.167924,-0.6350675,-3.616578,-10.53982,0.2235954,-13.34596,-5.40559,-14.94623,-11.09578,-16.63427,-5.457201,-32.45934,-25.88291,-30.44861,-8.568485,-5.43575,-9.341905,-12.49348,-8.94523,-3.142881,-0.0913253,-3.844087,-11.52934,-10.67267,-4.9981,-10.6587
56033,49.9,0.17,0.93,0.00,0.04,0.01,0.01,7391.00,3.20,3.60,0.18,0.26,7.44,0.20,0.49,0.18,331.70,3725.00,79.00,85.00,298.00,0.69,0.59,0.84,0.69,0.06,0.14,0.28,131.06,0.15,0.81,0.15,0.36,0.08,0.13,0.12,0.4968096,-30.69147,-3.603821,-1.481953,-7.575965,-6.396791,22.79707,7.57075,4.503852,5.690636,4.38888,8.20026,-4.412272,-0.6911492,-13.6103,-8.528625,-31.70556,-17.20564,-10.40178,-10.14722,-11.12353,-4.212989,-22.38455,-7.31173,-14.50146,-18.48789,-13.89115,-10.36513,-9.947141,-0.2170631,-27.31621,-9.83779,-7.571225,-11.75805,-9.502069,-2.534278,-12.83327,-9.13838,-7.776962,-7.487344,-10.85023,-6.816509,-12.33587,-15.69911,-14.46363,-15.42841,-6.612349,-5.8725,-4.731431,-3.719073,-9.783818,-5.321347,-14.33615,-16.28695,-16.51033,-2.194431,-15.91289,-2.791998,-11.85188,-7.325161,-7.168055,-2.121918,-4.433559,-9.466245,0.2268979,-27.10555,-4.924739,-14.09206,-10.22,-15.5901,-4.459822,-13.47268,-17.24182,-30.44861,-8.239586,-5.478669,-8.568384,-14.0005,-8.957069,-3.109285,0.1018894,-4.799613,-10.54413,-9.706313,-5.147828,-9.834228
56031,44.1,0.22,0.91,0.00,0.07,0.01,0.00,7597.00,2.80,2.50,0.18,0.26,8.14,0.27,0.26,0.17,284.20,1067.00,57.00,23.00,147.00,0.54,0.58,0.88,0.53,0.06,0.17,0.44,120.36,0.09,0.78,0.17,0.59,0.11,0.12,0.07,0.4966702,-13.63602,-7.441556,-2.545363,-6.950163,-7.027026,13.28814,5.391158,3.710928,5.513693,4.190986,7.755622,-5.934936,-0.6911492,-13.6103,-14.74877,-14.82944,-21.42149,-14.43069,-14.33268,-13.7747,-5.706604,-23.0485,-6.788365,-12.91043,-18.48789,-10.62914,-10.54611,-13.7354,-0.2169942,-13.11178,-10.08315,-10.6921,-12.00711,-11.77633,-2.68501,-17.05636,-9.666485,-9.721857,-11.14866,-14.66917,-11.27742,-15.97143,-12.90323,-18.67466,-19.6306,-10.15228,-8.391268,-6.286683,-7.404349,-9.99343,-7.265231,-18.36911,-20.49254,-20.7156,-5.174007,-15.91289,-3.291121,-11.09903,-6.893193,-7.183236,-6.324906,-8.466835,-13.02768,0.2201694,-12.34355,-8.364031,-18.30789,-14.50415,-20.33351,-7.652139,-17.4797,-25.88291,-30.44861,-8.561562,-7.66155,-11.34082,-14.0005,-9.580101,-3.483229,-2.369284,-4.630032,-14.17956,-13.20172,-9.615733,-12.30418
56029,33.8,0.19,0.92,0.00,0.05,0.01,0.01,6597.00,3.00,2.80,0.15,0.21,7.96,0.23,0.51,0.15,223.80,3667.00,108.00,58.00,159.00,0.81,0.61,0.85,0.72,0.06,0.15,0.21,255.97,0.13,0.75,0.17,0.44,0.07,0.12,0.08,0.496726,-30.69147,-4.39568,-2.606282,-7.070032,-6.965186,8.767783,6.758271,4.086916,5.466259,6.894494,8.044037,-4.668238,-0.6911492,-13.6103,-7.901644,-31.70556,-18.0519,-11.19908,-10.97588,-11.9376,-4.81841,-23.31229,-7.359895,-20.16699,-18.48789,-14.71968,-10.65073,-10.83567,-0.2170736,-27.31621,-10.00207,-8.434788,-12.29139,-10.37126,-2.634087,-13.66249,-9.422697,-8.701301,-7.482226,-11.42408,-7.559976,-12.70017,-16.54555,-15.31014,-16.25707,-7.405543,-6.666331,-4.939588,-4.079508,-11.28837,-6.51243,-15.03588,-17.13328,-17.35659,-2.546607,-15.91289,-3.708571,-17.03763,-7.495735,-7.179485,-2.75554,-5.046705,-9.975086,0.2233429,-27.10555,-3.146694,-14.93856,-11.06806,-16.41003,-5.351619,-14.1383,-17.15301,-30.44861,-8.389495,-5.720818,-9.711632,-13.96648,-9.599069,-3.148116,-0.4657768,-4.851244,-10.90838,-10.12634,-6.022,-10.72399
56025,56,0.13,0.89,0.01,0.07,0.01,0.01,7851.00,3.30,3.60,0.26,0.27,7.53,0.24,0.82,0.18,531.70,9350.00,75.00,67.00,259.00,0.75,0.59,0.71,0.67,0.05,0.17,0.31,219.12,0.10,0.81,0.09,0.14,0.08,0.12,0.12,0.496801,-12.20193,-4.132573,-1.731766,-6.668527,-7.361053,5.564881,5.908509,4.479234,5.821898,4.752087,7.894567,-4.10113,-0.6911492,-13.6103,-8.012549,-16.64576,-17.31387,-10.67836,-10.2513,-11.41142,-4.102809,-16.72138,-7.067516,-13.42075,-18.48789,-10.69308,-10.22929,-10.22805,-0.2170308,-14.93096,-9.744269,-7.701223,-8.853116,-9.894895,-2.404083,-12.91638,-8.999494,-7.593316,-7.522115,-10.98189,-6.712842,-12.31999,-14.4304,-14.57184,-15.47455,-6.537592,-5.254708,-4.474991,-3.715282,-16.3079,-5.28072,-22.12575,-16.39503,-16.61827,-1.930528,-15.90596,-2.868665,-12.73573,-7.080323,-7.15062,-2.017673,-3.836608,-9.492752,0.2273948,-14.01888,-3.808515,-14.20023,-10.3288,-15.71149,-4.749695,-21.4586,-25.88291,-30.44861,-8.568354,-5.183444,-8.460236,-13.99654,-8.793993,-3.123522,0.2950874,-4.720537,-10.52823,-9.705408,-4.485267,-10.03399
