 FIPS,Met Healthy People Objective of ***?,Cancer_Incidence,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
72001,***,17.7,17.2,18.3,788,stable,1.5,-2.5,5.8
56045,***,46.4,29.5,70.8,5,stable,-23.2,-55.1,31.2
56043,***,51.1,35.1,73.3,7,stable,-4.2,-25.1,22.6
56041,***,37.1,25.2,52.5,7,stable,11.3,-16.6,48.5
56039,***,22.6,14.1,34.4,5,stable,-8.2,-30.5,21.4
56037,***,45.3,35.4,57,16,stable,5.4,-15.7,31.9
56033,***,49.9,40.3,61.2,20,stable,-4.7,-11.7,2.8
56031,***,44.1,29.8,64.5,6,stable,-10.5,-43.5,41.8
56029,***,33.8,26.2,43.1,14,stable,-4.9,-14,5
56025,***,56,48.9,63.8,47,stable,-2,-12.8,10.1
56023,***,29.7,20.3,42.3,7,stable,7.1,-43.2,102.1
56021,***,49.2,43.2,55.7,51,stable,-8.9,-21.7,5.9
56019,***,38.6,25.1,58.3,5,stable,15,-21.6,68.7
56017,***,62.2,40.9,94.2,5,stable,-21.4,-43.3,9
56015,***,50.6,37.6,67.5,10,stable,-3.3,-30.7,34.8
56013,***,43.9,35.9,53.3,22,stable,-5.2,-29.4,27.4
56011,***,56.1,36.6,83.5,6,stable,-1.4,-30.9,40.8
56009,***,53.8,38.8,73,9,stable,0.5,-43.4,78.6
56007,***,53.9,39.6,72,10,stable,6.4,-9.8,25.6
56005,***,56.8,44.2,71.4,18,stable,4.5,-17.1,31.8
56003,***,35.9,24.3,51.9,6,stable,-10.6,-33.3,19.8
56001,***,45.1,34.3,58.2,13,stable,-4.1,-34.9,41.2
55141,***,54.6,48.3,61.5,56,stable,-0.4,-10.7,11.1
55139,***,58.9,54.1,64.1,114,stable,-1.8,-7.3,4.1
55137,***,70.8,59.3,84.2,28,stable,2.9,-9.3,16.9
55135,***,61.4,53.6,70.1,47,stable,-8.4,-21.4,6.7
55133,***,54.5,51.6,57.5,269,stable,-3.3,-8.5,2.2
55131,***,57.2,52,62.8,91,stable,5.7,-16.8,34.1
55129,***,69.7,55.8,86.9,19,stable,-0.7,-3.6,2.2
55127,***,64.7,58.4,71.7,78,stable,-1.7,-5.9,2.6
55125,***,73.4,62.3,86.7,32,stable,-0.7,-14.8,15.9
55123,***,56,46.3,67.4,24,stable,8.7,-10.4,31.8
55121,***,59.9,49.2,72.4,22,stable,-4.8,-16.4,8.5
55119,***,46.1,35.2,59.7,12,stable,-6.3,-32.7,30.4
55117,***,59.3,53.7,65.4,85,stable,-9.7,-18.7,0.4
55115,***,56.9,48.5,66.4,34,stable,-8.1,-23.7,10.7
55113,***,66.9,53.4,83.4,19,stable,-2,-14,11.6
55111,***,59.5,52,67.8,47,stable,-4.8,-24.7,20.3
55109,***,52.4,45.4,60.1,43,stable,3.4,-27.2,46.9
55107,***,74.9,60.1,93.1,18,stable,-1.4,-12.1,10.6
55105,***,73.9,68.5,79.7,140,stable,-3.9,-9.4,1.9
55103,***,60.1,46.9,76.1,15,stable,0.6,-24,33.1
55101,***,66.3,61.5,71.3,149,stable,0.8,-7,9.2
55099,***,60.6,47.4,77.4,15,stable,-3.4,-26.6,27
55097,***,50.5,43.7,58.2,40,stable,-6.4,-20.5,10.3
55095,***,58.1,49.8,67.6,35,stable,4.7,-0.7,10.4
55093,***,38.9,30.7,48.7,16,stable,8.3,-22.2,50.7
55091,***,57.6,39.8,82.2,7,stable,14.6,-32.9,95.6
55089,***,47.5,41.9,53.7,54,stable,-6.5,-18.1,6.9
55087,***,52.5,47.9,57.5,97,stable,-5.1,-14.3,5.2
55085,***,79.9,70,91,50,stable,-0.3,-13.5,15
55083,***,68.8,58.9,80,35,stable,1.8,-19.8,29.2
55081,***,76.9,66.7,88.3,42,stable,-2.4,-23.5,24.5
55079,***,70.3,67.8,72.8,658,stable,-2.5,-6.9,2.1
55077,***,83.4,67.6,102.5,21,stable,0.8,-15.5,20.3
55075,***,67.7,59,77.5,45,stable,-2.6,-11.6,7.4
