 FIPS,Met Healthy People Objective of ***?,Cancer_Incidence,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
0,***,114.8,114.6,115,194936,falling,-8.9,-13.2,-4.5
51730,***,243.6,211,280.1,42,stable,5.3,-16.4,32.6
28157,***,238.3,181.8,307.2,13,stable,-2.7,-27.8,31
51830,***,224.9,174.8,286.1,15,stable,47.1,-3.1,123.3
36013,***,222.9,208.8,237.8,192,falling,-16.2,-28,-2.4
46107,***,217.3,132.5,349.9,4,stable,13.5,-19.1,59.2
46041,***,209.4,131,315.8,5,stable,5.8,-51,128.2
22121,***,208.5,171.5,251,25,stable,-0.1,-2.5,2.2
1119,***,204.9,159.4,260.2,15,stable,-9.8,-24,7
45069,***,203.2,171.1,239.6,32,stable,-6.9,-27.6,19.8
28063,***,199.7,140.2,276,8,stable,1.4,-28.2,43
28037,***,196.7,145.8,261.5,10,stable,15.3,-9.9,47.6
22027,***,195.7,159.2,238.5,21,stable,-2,-4.9,1
19093,***,195.2,145.2,259.5,10,stable,0,-2.1,2.1
51135,***,194.7,158.5,237.3,21,stable,-15.7,-32.3,4.9
51620,***,194.5,142.8,260.3,10,stable,-0.6,-23.7,29.6
45061,***,192.7,155.8,235.8,21,falling,-8.4,-11.3,-5.4
1047,***,191.2,166.1,219.2,45,stable,-0.9,-10.9,10.2
46117,***,190.1,117.3,298.6,4,stable,-5.7,-36,38.8
28113,***,189.7,164.3,218,42,falling,-13.6,-14.9,-12.3
12125,***,189.4,156,229.3,26,stable,-11.2,-24.6,4.6
42023,***,189.4,135.5,263.9,8,stable,-8.9,-21,5
49045,***,188.3,162.4,217.1,42,falling,-20.7,-31.8,-7.8
22047,***,188,159.9,219.6,35,falling,-15.5,-27.7,-1.3
13065,***,187.9,127.1,268.5,7,stable,-0.7,-6.3,5.2
22025,***,187.2,141.7,243.3,12,stable,0.2,-3.9,4.5
46053,***,186.8,125.6,272.8,6,stable,-20.3,-58.6,53.4
45067,***,186,157.9,217.9,34,stable,-16.7,-33.1,3.7
1087,***,185.6,150.5,227,21,stable,-5.1,-30.1,28.7
28043,***,185.6,152.2,224.5,23,stable,3,-1.2,7.4
28011,***,185.5,155.4,219.6,30,stable,14.1,-17.2,57
46061,***,184.3,106,300.1,4,stable,-15,-46.4,34.9
13185,***,184.1,166,203.5,81,falling,-14.8,-27,-0.7
22093,***,183.7,150.4,222.4,23,stable,-0.4,-3.5,2.9
