number,name,FIPS,Cancer,Adult_Smoking,Physical_Inactivity,Diabetes_Value,Adult_Obesity,a_pm25_mean
0,"alabama,autauga",01001,4,6,6,8,6,9
1,"alabama,baldwin",01003,3,6,6,8,2,7
2,"alabama,barbour",01005,4,8,10,10,10,9
3,"alabama,bibb",01007,5,9,10,7,9,9
4,"alabama,blount",01009,4,6,10,10,5,10
5,"alabama,bullock",01011,3,10,9,10,10,9
6,"alabama,butler",01013,2,10,10,10,10,8
7,"alabama,calhoun",01015,4,8,9,10,8,10
8,"alabama,chambers",01017,4,8,10,10,9,9
9,"alabama,cherokee",01019,5,8,9,10,6,10
10,"alabama,chilton",01021,3,5,9,9,10,9
11,"alabama,choctaw",01023,1,5,10,10,10,8
12,"alabama,clarke",01025,2,2,10,10,10,8
13,"alabama,clay",01027,5,9,10,10,9,10
14,"alabama,cleburne",01029,4,5,10,9,6,10
15,"alabama,coffee",01031,3,4,8,9,5,8
16,"alabama,colbert",01033,5,10,8,10,7,8
17,"alabama,conecuh",01035,4,7,10,10,10,8
18,"alabama,coosa",01037,3,10,9,10,9,9
19,"alabama,covington",01039,5,10,10,10,9,7
20,"alabama,crenshaw",01041,4,3,9,10,10,8
21,"alabama,cullman",01043,3,6,9,9,7,10
22,"alabama,dale",01045,4,6,8,10,9,9
23,"alabama,dallas",01047,4,6,10,10,10,8
24,"alabama,de kalb",01049,2,4,8,9,7,10
25,"alabama,elmore",01051,4,6,8,8,6,9
26,"alabama,escambia",01053,4,6,10,9,10,9
27,"alabama,etowah",01055,4,9,9,10,7,10
28,"alabama,fayette",01057,4,2,8,10,10,9
29,"alabama,franklin",01059,3,8,10,10,9,8
30,"alabama,geneva",01061,5,10,10,10,9,8
31,"alabama,greene",01063,5,4,10,10,10,8
32,"alabama,hale",01065,2,10,10,10,10,9
33,"alabama,henry",01067,3,3,7,10,9,9
34,"alabama,houston",01069,4,4,9,9,9,9
35,"alabama,jackson",01071,5,6,8,9,5,10
36,"alabama,jefferson",01073,2,6,7,8,7,10
37,"alabama,lamar",01075,4,9,10,10,6,8
38,"alabama,lauderdale",01077,3,4,9,9,7,9
39,"alabama,lawrence",01079,5,9,10,10,10,9
40,"alabama,lee",01081,2,4,4,5,7,10
41,"alabama,limestone",01083,3,6,7,7,9,9
42,"alabama,lowndes",01085,2,7,10,10,10,8
43,"alabama,macon",01087,2,2,9,10,10,9
44,"alabama,madison",01089,2,4,4,8,5,10
45,"alabama,marengo",01091,3,3,9,10,10,9
46,"alabama,marion",01093,3,9,10,9,8,8
47,"alabama,marshall",01095,4,9,10,10,7,10
48,"alabama,mobile",01097,5,8,8,8,9,7
49,"alabama,monroe",01099,2,6,10,10,10,8
50,"alabama,montgomery",01101,4,5,6,10,9,8
51,"alabama,morgan",01103,4,8,7,8,4,10
52,"alabama,perry",01105,3,9,9,10,10,9
53,"alabama,pickens",01107,2,4,10,10,10,8
54,"alabama,pike",01109,2,4,9,10,10,9
55,"alabama,randolph",01111,3,9,10,10,9,10
56,"alabama,russell",01113,5,8,10,9,10,9
57,"alabama,st clair",01115,4,9,9,10,8,10
58,"alabama,shelby",01117,1,4,3,3,5,10
59,"alabama,sumter",01119,3,3,8,10,10,8
60,"alabama,talladega",01121,4,7,10,10,10,10
61,"alabama,tallapoosa",01123,4,9,8,10,9,9
62,"alabama,tuscaloosa",01125,4,6,6,7,8,9
63,"alabama,walker",01127,5,9,10,10,10,10
64,"alabama,washington",01129,3,5,8,9,10,7
65,"alabama,wilcox",01131,3,5,9,10,10,8
66,"alabama,winston",01133,5,7,10,8,10,9
67,"arizona,apache",04001,1,4,3,10,7,1
68,"arizona,cochise",04003,1,6,2,3,1,2
69,"arizona,coconino",04005,1,2,1,1,1,1
70,"arizona,gila",04007,1,8,4,7,2,2
71,"arizona,graham",04009,1,3,4,7,9,2
72,"arizona,greenlee",04011,1,5,3,3,9,2
73,"arizona,maricopa",04013,1,3,1,2,1,3
74,"arizona,mohave",04015,4,9,8,8,2,1
75,"arizona,navajo",04017,1,3,3,8,7,1
76,"arizona,pima",04019,1,3,1,2,1,3
77,"arizona,pinal",04021,1,3,2,5,6,3
78,"arizona,santa cruz",04023,1,3,1,1,1,2
79,"arizona,yavapai",04025,1,5,2,3,1,2
80,"arizona,yuma",04027,1,2,3,5,6,3
81,"arkansas,arkansas",05001,5,6,10,10,9,7
82,"arkansas,ashley",05003,4,10,10,8,10,7
83,"arkansas,baxter",05005,4,8,8,7,4,6
84,"arkansas,benton",05007,2,3,5,3,3,7
85,"arkansas,boone",05009,4,2,9,8,2,6
86,"arkansas,bradley",05011,5,2,9,10,9,7
87,"arkansas,calhoun",05013,5,10,10,8,9,7
88,"arkansas,carroll",05015,2,8,8,7,4,6
89,"arkansas,chicot",05017,5,10,10,10,10,7
90,"arkansas,clark",05019,4,1,8,8,8,7
91,"arkansas,clay",05021,5,6,10,9,7,7
92,"arkansas,cleburne",05023,5,9,8,9,4,7
93,"arkansas,cleveland",05025,5,6,6,9,9,8
94,"arkansas,columbia",05027,3,3,7,9,9,7
95,"arkansas,conway",05029,5,9,6,9,10,7
96,"arkansas,craighead",05031,4,4,9,8,9,7
97,"arkansas,crawford",05033,5,6,9,5,10,7
98,"arkansas,crittenden",05035,4,8,9,10,10,8
99,"arkansas,cross",05037,4,10,10,9,10,7
100,"arkansas,dallas",05039,5,10,10,10,8,7
101,"arkansas,desha",05041,5,8,9,10,10,7
102,"arkansas,drew",05043,5,4,9,9,7,7
103,"arkansas,faulkner",05045,4,4,6,5,4,8
104,"arkansas,franklin",05047,3,9,8,8,9,7
105,"arkansas,fulton",05049,3,10,10,8,6,6
106,"arkansas,garland",05051,4,9,4,7,3,7
107,"arkansas,grant",05053,5,10,8,7,10,8
108,"arkansas,greene",05055,5,4,9,10,10,7
109,"arkansas,hempstead",05057,5,5,8,10,10,7
110,"arkansas,hot spring",05059,5,9,9,8,8,7
111,"arkansas,howard",05061,5,5,9,9,10,7
112,"arkansas,independence",05063,4,7,10,8,5,6
113,"arkansas,izard",05065,5,9,10,7,5,6
114,"arkansas,jackson",05067,5,9,10,10,10,6
115,"arkansas,jefferson",05069,5,8,10,10,10,9
116,"arkansas,johnson",05071,5,8,9,8,9,7
117,"arkansas,lafayette",05073,5,10,9,9,6,7
118,"arkansas,lawrence",05075,5,3,9,8,10,6
119,"arkansas,lee",05077,1,4,10,9,9,7
120,"arkansas,lincoln",05079,2,8,8,7,8,8
121,"arkansas,little river",05081,5,6,8,8,8,7
122,"arkansas,logan",05083,5,8,10,9,8,7
123,"arkansas,lonoke",05085,5,6,6,7,6,8
124,"arkansas,madison",05087,4,10,8,10,8,6
125,"arkansas,marion",05089,5,8,6,10,8,6
126,"arkansas,miller",05091,5,10,9,8,9,7
127,"arkansas,mississippi",05093,4,10,10,10,10,8
128,"arkansas,monroe",05095,5,10,10,10,9,7
129,"arkansas,montgomery",05097,5,5,6,8,5,7
130,"arkansas,nevada",05099,5,10,10,10,9,7
131,"arkansas,newton",05101,5,10,10,9,10,6
132,"arkansas,ouachita",05103,5,7,10,9,10,7
133,"arkansas,perry",05105,5,10,8,9,9,7
134,"arkansas,phillips",05107,5,8,10,10,10,7
135,"arkansas,pike",05109,5,5,6,8,9,7
136,"arkansas,poinsett",05111,5,5,10,8,10,7
137,"arkansas,polk",05113,5,9,9,7,8,7
138,"arkansas,pope",05115,4,7,5,8,9,7
139,"arkansas,prairie",05117,5,9,9,8,8,7
140,"arkansas,pulaski",05119,4,5,7,7,8,10
141,"arkansas,randolph",05121,5,5,9,8,9,7
142,"arkansas,st francis",05123,2,6,10,9,10,7
143,"arkansas,saline",05125,4,7,6,7,7,8
144,"arkansas,scott",05127,5,10,10,9,4,6
145,"arkansas,searcy",05129,4,5,8,8,5,6
