FIPS,White,Black,Hispanic,Native_American,Asian,Premature_Death,Poor_Physical_Days,Poor_Mental_Days,Adult_Smoking,Adult_Obesity,Physical_Inactivity,Driving_Alone,Diabetes_Value,a_ccl4,a_cl_ln,a_cn_ln,a_diesel_ln,a_eox_ln,a_pb_ln,a_pm10_mean_ln,a_pm25_mean,a_so2_mean_ln,a_no2_mean_ln,a_co_mean_ln,a_o3_mean_ln,a_teca_ln,w_112tca_ln,a_dbcp_ln,a_tdi_ln,a_2clacephen_ln,a_2np_ln,a_pnp_ln,a_ch3cn_ln,a_acetophenone_ln,a_acrolein_ln,a_acrylic_acid_ln,a_c3h3n_ln,a_sb_ln,a_benzidine_ln,a_benzyl_cl_ln,a_be_ln,a_biphenyl_ln,a_dehp_ln,a_bromoform_ln,a_cd_ln,a_cs2_ln,a_cs_ln,a_c6h5cl_ln,a_chloroform_ln,a_chloroprene_ln,a_cr_ln,a_cresol_ln,a_cumene_ln,a_dbp_ln,a_dmf_ln,a_me2_phthalate_ln,a_me2so4_ln,a_ech_ln,a_etacrylate_ln,a_etcl_ln,a_edb_ln,a_edc_ln,a_egly_ln,a_edcl2_ln,a_glycol_ethers_ln,a_hcb_ln,a_hcbd_ln,a_hccpd_ln,a_hexane_ln,a_n2h2_ln,a_hcl_ln,a_isophorone_ln,a_mn_ln,a_hg_ln,a_meoh_ln,a_mibk_ln,a_mma_ln,a_mecl_ln,a_mehydrazine_ln,a_mtbe_ln,a_nitrobenzene_ln,a_dma_ln,a_otoluidine_ln,a_pahpom_ln,a_pcp_ln,a_ph3_ln,a_p_ln,a_pcbs_ln,a_procl2_ln,a_proo_ln,a_quinoline_ln,a_se_ln,a_cl4c2_ln,a_toluene_ln,a_c2hcl3_ln,a_etn_ln,a_vyac_ln,a_vycl_ln,a_11dce_ln
56045,50,1,3,2,1,15,15,13,12,13,16,0.69,0.08,14,41,6,5,6,6,3,3,100,55,7,60,4,6,2,2,1,9,1,10,1,6,4,4,54,4,39,22,9,9,1,18,13,19,8,23,10,7,4,15,4,10,1,33,12,8,1,7,4,6,1,4,11,12,14,7,2,8,1,18,19,5,10,8,7,1,3,13,14,15,8,16,1,1,14,2,12,1,24,7,8,3,6,7,12,11
56043,41,1,14,2,1,30,8,6,6,6,12,0.73,0.09,35,1,37,18,12,15,20,11,56,34,32,26,56,6,2,58,1,26,59,33,42,17,7,3,7,4,18,77,41,11,1,56,34,82,21,23,34,38,13,36,33,50,22,19,33,25,47,56,51,90,5,100,48,35,36,43,2,34,6,21,64,34,71,27,27,1,28,36,39,45,51,51,1,1,57,54,41,1,84,40,51,4,19,25,56,31
56041,45,1,9,1,1,59,20,18,10,12,13,0.77,0.07,19,5,8,9,13,22,29,13,33,59,83,34,13,6,54,22,1,12,25,14,17,7,19,21,8,48,9,26,13,17,1,14,41,89,19,14,15,12,10,20,40,22,9,10,16,12,26,7,11,14,75,8,11,16,18,16,15,13,9,6,16,9,18,11,11,1,21,17,18,21,5,15,1,1,14,7,27,50,29,36,29,7,9,9,37,30
56039,39,1,15,1,1,2,2,6,2,1,1,0.62,0.04,23,13,19,8,12,19,42,14,25,39,100,36,18,6,18,43,6,18,55,21,40,25,5,3,7,4,18,24,25,10,5,26,23,80,13,79,22,22,26,54,41,32,40,17,23,16,33,3,19,39,8,14,25,25,26,16,2,37,10,12,33,20,13,34,57,6,11,25,27,31,23,28,7,1,30,21,28,31,54,23,15,4,33,41,7,21
56037,37,1,16,1,1,47,17,20,16,9,10,0.75,0.07,38,73,23,29,15,17,49,12,29,41,60,13,66,6,30,29,47,29,48,37,37,61,8,27,29,19,99,80,33,47,46,57,39,95,22,72,38,41,25,37,31,51,27,71,37,27,52,65,60,88,52,29,1,39,40,51,2,41,47,21,67,89,40,29,32,42,17,41,42,44,31,1,1,1,1,63,47,37,84,34,55,32,22,29,66,38
56033,50,1,4,1,1,46,12,19,10,8,7,0.81,0.08,57,1,69,34,6,74,98,22,41,36,15,36,63,6,2,56,1,44,76,55,61,38,8,7,27,4,31,73,62,12,1,55,60,39,41,64,58,44,23,61,52,74,47,33,56,43,71,63,58,47,62,39,77,58,60,62,2,59,33,37,66,51,25,49,48,1,23,61,64,66,75,77,3,1,84,60,69,1,84,39,65,5,38,51,63,62
56031,48,1,7,1,1,49,8,8,10,8,14,0.78,0.11,9,12,3,8,19,49,66,4,26,29,13,20,19,6,2,3,59,5,5,4,10,5,7,29,45,4,85,62,4,26,58,29,10,35,9,2,5,11,3,5,5,4,5,84,7,3,12,16,8,5,58,7,3,6,8,4,2,48,45,64,47,2,3,6,3,65,2,6,7,4,3,8,1,1,6,10,9,1,72,8,4,8,5,6,25,12
56029,49,1,5,1,1,31,10,11,7,3,10,0.75,0.07,36,1,39,7,17,52,32,15,32,27,79,30,52,6,2,67,1,29,56,37,41,16,6,5,5,4,20,52,36,9,1,39,38,32,24,28,38,30,10,61,40,54,39,21,37,27,52,51,47,39,36,15,48,39,40,49,2,38,7,15,53,33,17,38,30,1,64,41,43,49,36,52,3,1,57,50,36,21,71,33,38,3,32,41,52,36
56025,46,1,7,1,1,54,13,19,18,9,11,0.81,0.08,55,17,48,22,25,26,8,8,40,40,20,24,80,6,2,64,31,42,69,53,54,44,26,19,39,4,84,80,54,19,30,62,56,81,33,82,56,48,27,60,49,77,47,57,53,43,73,80,75,47,2,40,1,56,57,71,20,57,23,54,77,53,35,48,50,29,44,58,61,63,64,2,1,1,1,76,72,13,87,37,72,6,38,51,79,56
56023,51,1,4,1,1,56,9,10,5,5,9,0.74,0.08,14,11,7,6,11,14,8,15,37,62,90,35,7,6,46,17,29,9,15,12,12,16,53,9,41,41,99,41,42,19,27,32,24,100,7,8,14,29,12,16,8,15,7,49,12,16,19,7,7,34,6,3,10,12,13,7,21,13,38,20,30,20,10,8,19,27,6,25,14,13,11,16,5,1,14,4,23,43,68,6,6,7,7,12,20,10
56021,38,2,13,1,1,52,12,14,11,8,11,0.83,0.08,16,20,45,50,40,63,40,6,18,20,17,17,79,6,2,78,39,4,66,7,51,28,58,41,29,4,68,81,41,36,37,62,6,15,3,38,28,44,21,56,48,75,48,60,6,38,71,79,74,66,14,62,1,5,7,71,41,51,47,24,68,61,34,39,47,24,24,6,7,3,48,2,1,1,1,75,52,22,86,66,66,18,39,48,78,4
56019,51,1,4,1,1,42,9,16,8,6,13,0.74,0.09,22,1,17,7,9,12,13,7,48,46,15,41,10,6,2,48,8,16,36,19,25,11,5,12,11,4,20,23,19,10,7,13,25,51,23,73,20,13,11,28,18,32,11,19,21,15,34,7,15,12,77,39,25,22,24,28,2,16,10,8,29,15,9,16,15,1,21,23,24,31,15,29,1,1,29,17,23,1,31,34,32,4,10,12,38,35
56017,51,1,2,2,1,73,17,18,11,7,14,0.75,0.1,24,1,19,1,3,4,19,13,73,34,58,17,43,6,2,4,1,19,39,24,27,3,6,2,5,4,14,23,22,12,1,16,25,76,14,92,25,13,2,20,19,45,12,14,25,19,41,6,38,12,1,27,20,27,28,15,2,21,5,8,21,18,7,20,18,1,30,28,30,40,14,23,1,1,24,41,21,25,36,32,26,2,11,15,2,23
56015,44,1,10,1,1,59,8,20,8,9,17,0.76,0.09,19,59,12,12,20,23,21,4,27,22,11,19,27,6,2,28,50,12,16,16,14,7,45,38,31,4,74,48,12,25,48,26,26,66,33,13,27,13,8,14,9,23,8,73,17,29,33,13,22,22,88,29,18,17,19,13,30,31,34,33,28,15,9,12,17,40,26,18,19,22,9,21,19,1,22,24,25,19,60,13,10,10,8,9,42,49
56013,29,1,6,11,1,93,16,19,15,8,11,0.72,0.09,42,1,44,6,10,12,36,16,99,44,63,19,56,6,11,34,1,33,51,42,37,39,7,5,8,4,23,54,46,16,1,36,44,92,27,58,44,28,13,27,33,55,28,24,43,32,53,56,51,40,7,15,55,45,46,26,2,38,20,14,49,32,18,34,31,1,15,47,49,54,62,57,1,1,64,54,44,30,67,33,38,6,23,32,56,42
56011,53,1,2,1,1,12,11,15,11,6,16,0.67,0.07,7,31,2,2,1,2,2,3,90,58,6,83,2,6,2,2,29,3,2,3,4,4,1,1,16,4,52,11,2,8,28,7,4,6,2,2,3,6,1,3,1,2,1,48,5,2,5,8,3,1,5,4,3,4,6,3,2,3,33,12,9,1,5,2,2,17,1,5,6,3,2,9,1,1,5,1,5,1,27,1,3,1,1,2,4,3
56009,48,1,7,1,1,40,8,10,14,12,13,0.65,0.08,21,6,17,8,11,10,29,3,45,54,12,32,31,6,2,66,53,15,34,18,26,12,9,27,32,4,100,47,21,18,52,24,29,64,32,27,19,17,9,11,17,32,10,77,19,14,38,10,26,12,87,63,23,20,22,12,2,64,37,17,43,15,10,16,17,53,11,21,23,30,17,27,1,1,28,28,24,3,63,14,13,6,9,11,42,48
56007,37,1,17,1,1,75,16,17,15,10,20,0.75,0.08,26,28,24,9,22,18,38,8,23,30,23,16,37,6,2,39,1,21,35,26,24,8,6,31,43,4,15,48,38,28,1,30,32,86,24,16,27,20,7,27,19,43,16,15,27,20,43,13,32,14,73,11,29,28,30,30,2,20,5,20,35,20,15,22,20,1,13,30,32,40,17,32,1,1,34,34,25,26,55,33,33,8,14,17,35,37
56005,46,1,8,1,1,56,9,11,15,15,13,0.81,0.07,37,34,35,12,10,15,86,4,98,99,9,91,58,6,2,32,61,29,44,36,40,18,40,9,42,4,99,56,26,17,61,42,41,40,27,54,41,43,15,42,28,53,26,86,36,35,53,58,52,50,60,56,39,38,40,47,28,67,67,29,62,44,34,30,28,69,30,40,42,47,21,43,1,1,47,55,48,17,91,35,44,8,21,29,58,40
56003,46,1,9,1,1,78,18,12,10,9,13,0.75,0.09,10,1,4,2,2,2,20,13,46,32,41,33,8,6,2,5,1,6,5,6,4,4,2,8,7,4,4,8,5,8,1,5,12,48,13,3,6,5,4,5,4,5,4,5,8,5,15,6,4,5,73,10,7,8,9,4,2,4,8,4,8,3,8,4,5,1,4,8,9,5,4,12,2,1,9,5,13,1,14,10,4,3,4,4,35,20
56001,42,1,9,1,3,10,10,18,6,4,6,0.67,0.05,55,7,40,47,28,30,54,5,21,28,17,16,76,6,2,67,8,43,80,55,63,25,31,35,12,4,34,81,55,33,7,59,58,19,35,82,58,42,14,53,53,72,44,35,55,45,68,76,71,48,22,31,1,58,59,63,23,55,26,20,84,50,33,48,46,3,42,60,64,67,38,1,1,1,1,73,60,14,83,36,60,11,36,48,75,58
55141,51,1,2,1,2,10,2,14,10,10,8,0.82,0.1,100,91,59,55,71,76,28,28,75,41,53,83,71,6,23,74,21,80,65,63,53,45,43,57,95,4,51,81,98,23,21,67,75,63,90,97,66,79,84,95,49,75,75,36,61,53,75,70,73,71,86,61,57,62,66,61,33,48,69,72,100,98,69,50,71,15,29,66,69,72,87,38,14,1,63,67,56,50,78,88,67,70,73,86,71,74
