number,name,County,FIPS,Cancer_Incidence
1,"alabama,autauga","Autauga County, Alabama ",1001,73.9
2,"alabama,baldwin","Baldwin County, Alabama ",1003,68.4
3,"alabama,barbour","Barbour County, Alabama ",1005,76.1
4,"alabama,bibb","Bibb County, Alabama ",1007,86.4
5,"alabama,blount","Blount County, Alabama ",1009,73.1
6,"alabama,bullock","Bullock County, Alabama ",1011,72.4
7,"alabama,butler","Butler County, Alabama ",1013,58.5
8,"alabama,calhoun","Calhoun County, Alabama ",1015,79.6
9,"alabama,chambers","Chambers County, Alabama ",1017,72.5
10,"alabama,cherokee","Cherokee County, Alabama ",1019,85.9
11,"alabama,chilton","Chilton County, Alabama ",1021,70.5
12,"alabama,choctaw","Choctaw County, Alabama ",1023,50.2
13,"alabama,clarke","Clarke County, Alabama ",1025,67.4
14,"alabama,clay","Clay County, Alabama ",1027,87.5
15,"alabama,cleburne","Cleburne County, Alabama ",1029,85.8
16,"alabama,coffee","Coffee County, Alabama ",1031,72.1
17,"alabama,colbert","Colbert County, Alabama ",1033,78.3
18,"alabama,conecuh","Conecuh County, Alabama ",1035,74.7
19,"alabama,coosa","Coosa County, Alabama ",1037,66.6
20,"alabama,covington","Covington County, Alabama ",1039,78.5
21,"alabama,crenshaw","Crenshaw County, Alabama ",1041,74.3
22,"alabama,cullman","Cullman County, Alabama ",1043,66.2
23,"alabama,dale","Dale County, Alabama ",1045,79
24,"alabama,dallas","Dallas County, Alabama ",1047,70.9
25,"alabama,de kalb","DeKalb County, Alabama ",1049,62.8
26,"alabama,elmore","Elmore County, Alabama ",1051,76.7
27,"alabama,escambia","Escambia County, Alabama ",1053,76.7
28,"alabama,etowah","Etowah County, Alabama ",1055,77.4
29,"alabama,fayette","Fayette County, Alabama ",1057,77.3
30,"alabama,franklin","Franklin County, Alabama ",1059,70.7
31,"alabama,geneva","Geneva County, Alabama ",1061,83.8
32,"alabama,greene","Greene County, Alabama ",1063,84.7
33,"alabama,hale","Hale County, Alabama ",1065,64.4
34,"alabama,henry","Henry County, Alabama ",1067,70.1
35,"alabama,houston","Houston County, Alabama ",1069,68
36,"alabama,jackson","Jackson County, Alabama ",1071,80.6
37,"alabama,jefferson","Jefferson County, Alabama ",1073,63.3
38,"alabama,lamar","Lamar County, Alabama ",1075,81.2
39,"alabama,lauderdale","Lauderdale County, Alabama ",1077,65.7
40,"alabama,lawrence","Lawrence County, Alabama ",1079,88
41,"alabama,lee","Lee County, Alabama ",1081,55.7
42,"alabama,limestone","Limestone County, Alabama ",1083,68.6
43,"alabama,lowndes","Lowndes County, Alabama ",1085,57.1
44,"alabama,macon","Macon County, Alabama ",1087,56.2
45,"alabama,madison","Madison County, Alabama ",1089,61.9
46,"alabama,marengo","Marengo County, Alabama ",1091,64.9
47,"alabama,marion","Marion County, Alabama ",1093,70.8
48,"alabama,marshall","Marshall County, Alabama ",1095,78.6
49,"alabama,mobile","Mobile County, Alabama ",1097,72.2
50,"alabama,monroe","Monroe County, Alabama ",1099,59.2
51,"alabama,montgomery","Montgomery County, Alabama ",1101,57.7
52,"alabama,morgan","Morgan County, Alabama ",1103,77
